personnage,replique
DON LOUIS,"Je vois bien que je vous embarrasse et que vous vous
passeriez fort aisément de ma venue. À dire vrai, nous
nous incommodons étrangement l'un et l'autre ; et si vous
êtes las de me voir, je suis bien las aussi de vos
déportements. Hélas ! Que nous savons peu ce que nous
faisons quand nous ne laissons pas au Ciel le soin des
choses qu'il nous faut, quand nous voulons être plus
avisés que lui, et que nous venons à l'importuner par nos
souhaits aveugles et nos demandes inconsidérées ! J'ai
souhaité un fils avec des ardeurs non pareilles ; je l'ai
demandé sans relâche avec des transports incroyables ; et
ce fils, que j'obtiens en fatiguant le Ciel de voux, est le
chagrin et le supplice de cette vie même dont je croyais
qu'il devait être la joie et la consolation. De quel oeil, à
votre avis, pensez-vous que je puisse voir cet amas
d'actions indignes, dont on a peine, aux yeux du monde,
d'adoucir le mauvais visage, cette suite continuelle de
méchantes affaires, qui nous réduisent, à toutes heures, à
lasser les bontés du Souverain, et qui ont épuisé auprès
de lui le mérite de mes services et le crédit de mes amis ?
Ah ! Quelle bassesse est la vôtre ! Ne rougissez-vous
point de mériter si peu votre naissance ? Êtes-vous en
droit, dites-moi, d'en tirer quelque vanité ? Et
qu'avez-vous fait dans le monde pour être gentilhomme ?
Croyez-vous qu'il suffise d'en porter le nom et les armes,
et que ce nous soit une gloire d'être sorti d'un sang noble
lorsque nous vivons en infâmes ? Non, non, la naissance
n'est rien où la vertu n'est pas. Aussi nous n'avons part à
la gloire de nos ancêtres qu'autant que nous nous
efforçons de leur ressembler ; et cet éclat de leurs actions
qu'ils répandent sur nous, nous impose un engagement de
leur faire le même honneur, de suivre les pas qu'ils nous
tracent, et de ne point dégénérer de leurs vertus, si nous
voulons être estimés leurs véritables descendants. Ainsi
vous descendez en vain des aïeux dont vous êtes né : ils
vous désavouent pour leur sang, et tout ce qu'ils ont fait
d'illustre ne vous donne aucun avantage ; au contraire,
- 63 -"
DON JUAN,"Monsieur, si vous étiez assis, vous en seriez mieux pour
parler."
DON LOUIS,"Non, insolent, je ne veux point m'asseoir, ni parler
davantage, et je vois bien que toutes mes paroles ne font
rien sur ton âme. Mais sache, fils indigne, que la
tendresse paternelle est poussée à bout par tes actions,
que je saurai, plus tôt que tu ne penses, mettre une borne
à tes dérèglements, prévenir sur toi le courroux du Ciel,
et laver par ta punition la honte de t'avoir fait naître. 
Il sort.
SCÈNE V.
Don Juan, Sganarelle."
DON JUAN,"Eh ! Mourez le plus tôt que vous pourrez, c'est le mieux
que vous puissiez faire. Il faut que chacun ait son tour, et
j'enrage de voir des pères qui vivent autant que leurs fils. 
Il se met dans son fauteuil."
SGANARELLE,"Ah ! Monsieur, vous avez tort."
DON JUAN,J'ai tort ?
SGANARELLE,Monsieur...
SGANARELLE,"Oui, Monsieur, vous avez tort d'avoir souffert ce qu'il
vous a dit, et vous le deviez mettre dehors par les
épaules. A-t-on jamais rien vu de plus impertinent ? Un
père venir faire des remontrances à son fils, et lui dire de
corriger ses actions, de se ressouvenir de sa naissance, de
mener une vie d'honnête homme, et cent autres sottises
de pareille nature ! Cela se peut-il souffrir à un homme
comme vous, qui savez comme il faut vivre ? J'admire
votre patience ; et si j'avais été en votre place, je l'aurais
envoyé promener. 
À part.
Ô complaisance maudite ! À quoi me réduis-tu ?"
DON JUAN,"Me fera-t-on souper bientôt ? 
SCÈNE VI.
Don Juan, Dona Elvire, Ragotin, Sganarelle."
RAGOTIN,"Monsieur, voici une dame voilée qui vient vous parler."
DON JUAN,Que pourrait-ce être ?
SGANARELLE,"Il faut voir. 
DONA"
ELVIRE,"Ne soyez point surpris, Don Juan, de me voir à cette
heure et dans cet équipage. C'est un motif pressant qui
m'oblige à cette visite, et ce que j'ai à vous dire ne veut
point du tout de retardement. Je ne viens point ici pleine
de ce courroux que j'ai tantôt fait éclater, et vous me
voyez bien changée de ce que j'étais ce marin. Ce n'est
plus cette Dona Elvire qui faisait des voux contre vous, et
dont l'âme irritée ne jetait que menaces et ne respirait que
vengeance. Le Ciel a banni de mon âme toutes ces
insignes ardeurs que je sentais pour vous, tous ces
transports tumultueux d'un attachement criminel, tous ces
honteux emportements d'un amour terrestre et grossier ;
et il n'a laissé dans mon coeur pour vous qu'une flamme
épurée de tout le commerce des sens, une tendresse toute
sainte, un amour détaché de tout, qui n'agit point pour
soi, et ne se met en peine que de votre intérêt. 
- 65 -"
SGANARELLE,"Pardonnez-moi. 
DONA"
ELVIRE,"C'est ce parfait et pur amour qui me conduit ici pour
votre bien, pour vous faire part d'un avis du Ciel, et
tâcher de vous retirer du précipice où vous courez. Oui,
Don Juan, je sais tous les dérèglements de votre vie, et ce
même Ciel, qui m'a touché le coeur et fait jeter les yeux
sur les égarements de ma conduite, m'a inspiré de vous
venir trouver, et de vous dire, de sa part, que vos offenses
ont épuisé sa miséricorde, que sa colère redoutable est
prête de tomber sur vous, qu'il est en vous de l'éviter par
un prompt repentir, et que peut-être vous n'avez pas
encore un jour à vous pouvoir soustraire au plus grand de
tous les malheurs. Pour moi, je ne tiens plus à vous par
aucun attachement du monde ; je suis revenue, grâces au
Ciel, de toutes mes folles pensées ; ma retraite est
résolue, et je ne demande qu'assez de vie pour pouvoir
expier la faute que j'ai faite, et mériter, par une austère
pénitence, le pardon de l'aveuglement où m'ont plongée
les transports d'une passion condamnable. Mais, dans
cette retraite, j'aurais une douleur extrême qu'une
personne que j'ai chérie tendrement devînt un exemple
funeste de la justice du Ciel ; et ce me sera une joie
incroyable si je puis vous porter à détourner de dessus
votre tête l'épouvantable coup qui vous menace. De
grâce, Don Juan, accordez-moi, pour dernière faveur,
cette douce consolation ; ne me refusez point votre salut,
que je vous demande avec larmes ; et si vous n'êtes point
touché de votre intérêt, soyez-le au moins de mes prières,
et m'épargnez le cruel déplaisir de vous voir condamner à
des supplices éternels."
SGANARELLE,"Pauvre femme ! 
DONA"
ELVIRE,"Je vous ai aimé avec une tendresse extrême, rien au
monde ne m'a été si cher que vous ; j'ai oublié mon
devoir pour vous, j'ai fait toutes choses pour vous ; et
toute la récompense que je vous en demande, c'est de
corriger votre vie, et de prévenir votre perte.
Sauvez-vous, je vous prie, ou pour l'amour de vous, ou
pour l'amour de moi. Encore une fois, Don Juan, je vous
le demande avec larmes ; et si ce n'est assez des larmes
d'une personne que vous avez aimée, je vous en conjure
par tout ce qui est le plus capable de vous toucher. 
- 66 -"
SGANARELLE,"Coeur de tigre ! 
DONA"
ELVIRE,"Je m'en vais, après ce discours, et voilà tout ce que j'avais
à vous dire."
DON JUAN,"Madame, il est tard, demeurez ici : on vous y logera le
mieux qu'on pourra. 
DONA"
ELVIRE,"Non, Don Juan, ne me retenez pas davantage."
DON JUAN,"Madame, vous me ferez plaisir de demeurer, je vous
assure. 
DONA"
ELVIRE,"Non, vous dis-je, ne perdons point de temps en discours
superflus. Laissez-moi vite aller, ne faites aucune
instance pour me conduire, et songez seulement à profiter
de mon avis. 
SCÈNE VII.
Don Juan, Sganarelle, suite."
DON JUAN,"Sais-tu bien que j'ai encore senti quelque peu d'émotion
pour elle, que j'ai trouvé de l'agrément dans cette
nouveauté bizarre, et que son habit négligé, son air
languissant et ses larmes ont réveillé en moi quelques
petits restes d'un feu éteint ?"
SGANARELLE,"C'est-à-dire que ses paroles n'ont fait aucun effet sur
vous."
DON JUAN,Vite à souper.
SGANARELLE,"Fort bien. 
- 67 -"
SGANARELLE,Oui-da !
DON JUAN,"Oui, ma foi ! Il faut s'amender ; encore vingt ou trente
ans de cette vie-ci, et puis nous songerons à nous."
SGANARELLE,Oh !
DON JUAN,Qu'en dis-tu ?
SGANARELLE,"Rien. Voilà le souper. 
Il prend un morceau d'un des plats qu'on apporte et le met dans sa bouche."
DON JUAN,"Il me semble que tu as la joue enflée ; qu'est-ce que c'est
? Parle donc, qu'as-tu là ?"
SGANARELLE,Rien.
DON JUAN,"Montre un peu. Parbleu ! C'est une fluxion qui lui est
tombée sur la joue. Vite une lancette pour percer cela. Le
pauvre garçon n'en peut plus, et cet abcès le pourrait
étouffer. Attends : voyez comme il était mûr. Ah !
Coquin que vous êtes !"
SGANARELLE,"Ma foi ! Monsieur, je voulais voir si votre cuisinier
n'avait point mis trop de sel ou trop de poivre."
DON JUAN,"Allons, mets-toi là, et mange. J'ai affaire de toi quand
j'aurai soupé. Tu as faim, à ce que je vois."
SGANARELLE,"se met à table.
Je le crois bien, Monsieur : je n'ai point mangé depuis ce
matin. Tâtez de cela, voilà qui est le meilleur du monde. 
- 68 -"
DON JUAN,Qui peut frapper de cette sorte ?
SGANARELLE,Qui diable nous vient troubler dans notre repas ?
DON JUAN,"Je veux souper en repos au moins, et qu'on ne laisse
entrer personne."
SGANARELLE,"Laissez-moi faire, je m'y en vais moi-même."
DON JUAN,Qu'est-ce donc ? Qu'y a-t-il ?
DON JUAN,"Allons voir, et montrons que rien ne me saurait ébranler."
SGANARELLE,"Ah ! Pauvre Sganarelle, ou te cacheras-tu ? 
- 69 -"
DON JUAN,"Une chaise et un couvert, vite donc. 
À Sganarelle.
Allons, mets-toi à table."
SGANARELLE,"Monsieur, je n'ai plus de faim."
DON JUAN,"Mets-toi là, te dis-je. À boire. À la santé du Commandeur
: je te la porte, Sganarelle. Qu'on lui donne du vin."
SGANARELLE,"Monsieur, je n'ai pas soif."
DON JUAN,"Bois, et chante ta chanson, pour régaler le Commandeur."
SGANARELLE,"Je suis enrhumé, Monsieur."
DON JUAN,"Il n'importe. Allons. Vous autres, venez, accompagnez sa
voix. 
LA STATUE
Don Juan, c'est assez. Je vous invite à venir demain
souper avec moi. En aurez-vous le courage ?"
DON JUAN,"Oui, j'irai, accompagné du seul Sganarelle."
SGANARELLE,"Je vous rends grâce, il est demain jeûne pour moi."
DON LOUIS,"Quoi ? Mon fils, serait-il possible que la bonté du Ciel
eût exaucé mes voux ? Ce que vous me dites est-il bien
vrai ? Ne m'abusez-vous point d'un faux espoir, et puis-je
prendre quelque assurance sur la nouveauté surprenante
d'une telle conversion ?"
DON LOUIS,"Ah ! Mon fils, que la tendresse d'un père est aisément
rappelée, et que les offenses d'un fils s'évanouissent vite
au moindre mot de repentir ! Je ne me souviens plus déjà
de tous les déplaisirs que vous m'avez donnés, et tout est
effacé par les paroles que vous venez de me faire
entendre. Je ne me sens pas, je l'avoue ; je jette des
larmes de joie ; tous mes voux sont satisfaits, et je n'ai
plus rien désormais à demander au Ciel. Embrassez-moi,
mon fils, et persistez, je vous conjure, dans cette louable
pensée. Pour moi, j'en vais tout de ce pas porter
- 72 -"
SGANARELLE,"Ah ! Monsieur, que j'ai de joie de vous voir converti ! Il y
a longtemps que j'attendais cela, et voilà, grâce au Ciel,
tous mes souhaits accomplis."
DON JUAN,La peste le benêt !
SGANARELLE,"Comment, le benêt ?"
DON JUAN,"Quoi ? Tu prends pour de bon argent ce que je viens de
dire, et tu crois que ma bouche était d'accord avec mon
coeur ?"
SGANARELLE,"Quoi ? Ce n'est pas... Vous ne... Votre... Oh ! Quel
homme ! Quel homme ! Quel homme !"
DON JUAN,"Non, non, je ne suis point changé, et mes sentiments sont
toujours les mêmes."
SGANARELLE,"Vous ne vous rendez pas à la surprenante merveille de
cette statue mouvante et parlante ?"
DON JUAN,"Il y a bien quelque chose là dedans que je ne comprends
pas ; mais quoi que ce puisse être, cela n'est pas capable
ni de convaincre mon esprit, ni d'ébranler mon âme ; et si
j'ai dit que je voulais corriger ma conduite et me jeter
dans un train de vie exemplaire, c'est un dessein que j'ai
formé par pure politique, un stratagème utile, une
grimace nécessaire où je veux me contraindre, pour
ménager un père dont j'ai besoin, et me mettre à couvert,
du côté des hommes, de cent fâcheuses aventures qui
pourraient m'arriver. Je veux bien, Sganarelle, t'en faire
confidence, et je suis bien aise d'avoir un témoin du fond
de mon âme et des véritables motifs qui m'obligent à
faire les choses. 
- 73 -"
SGANARELLE,"Quoi ? Vous ne croyez rien du tout, et vous voulez
cependant vous ériger en homme de bien ?"
DON JUAN,"Et pourquoi non ? Il y en a tant d'autres comme moi, qui
se mêlent de ce métier, et qui se servent du même
masque pour abuser le monde !"
SGANARELLE,Ah ! Quel homme ! Quel homme !
DON JUAN,"Il n'y a plus de honte maintenant à cela : l'hypocrisie est
un vice à la mode, et tous les vices à la mode passent
pour vertus. Le personnage d'homme de bien est le
meilleur de tous les personnages qu'on puisse jouer
aujourd'hui, et la profession d'hypocrite a de merveilleux
avantages. C'est un art de qui l'imposture est toujours
respectée ; et quoiqu'on la découvre, on n'ose rien dire
contre elle. Tous les autres vices des hommes sont
exposés à la censure, et chacun a la liberté de les attaquer
hautement ; mais l'hypocrisie est un vice privilégié, qui,
de sa main, ferme la bouche à tout le monde, et jouit en
repos d'une impunité souveraine. On lie, à force de
grimaces ; une société étroite avec tous les gens du parti.
Qui en choque un, se les jette tous sur les bras ; et ceux
que l'on sait même agir de bonne foi là-dessus, et que
chacun connaît pour être véritablement touchés ; ceux-là,
dis-je, sont toujours les dupes des autres ; ils donnent
hautement dans le panneau des grimaciers et appuient
aveuglément les singes de leurs actions. Combien
crois-tu que j'en connaisse qui, par ce stratagème, ont
rhabillé adroitement les désordres de leur jeunesse, qui se
sont fait un bouclier du manteau de la religion, et, sous
cet habit respecté, ont la permission d'être les plus
méchants hommes du monde ? On a beau savoir leurs
intrigues et les connaître pour ce qu'ils sont, ils ne
laissent pas pour cela d'être en crédit parmi les gens ; et
quelque baissement de tête, un soupir mortifié, et deux
roulements d'yeux rajustent dans le monde tout ce qu'ils
peuvent faire. C'est sous cet abri favorable que je veux
me sauver, et mettre en sûreté mes affaires. Je ne
quitterai point mes douces habitudes ; mais j'aurai soin de
me cacher et me divertirai à petit bruit. Que si je viens à
être découvert, je verrai, sans me remuer, prendre mes
intérêts à toute la cabale, et je serai défendu par elle
envers et contre tous. Enfin c'est là le vrai moyen de faire
impunément tout ce que je voudrai. Je m'érigerai en
censeur des actions d'autrui, jugerai mal de tout le
monde, et n'aurai bonne opinion que de moi. Dès qu'une
fois on m'aura choqué tant soit peu, je ne pardonnerai
jamais et garderai tout doucement une haine
irréconciliable. Je ferai le vengeur des intérêts du Ciel, et,
sous ce prétexte commode, je pousserai mes ennemis, je
les accuserai d'impiété, et saurai déchaîner contre eux des
zélés indiscrets, qui, sans connaissance de cause, crieront
- 74 -"
SGANARELLE,"Ô Ciel ! Qu'entends-je ici ? Il ne vous manquait plus que
d'être hypocrite pour vous achever de tout point, et voilà
le comble des abominations. Monsieur, cette dernière-ci
m'emporte et je ne puis m'empêcher de parler. Faites-moi
tout ce qu'il vous plaira, battez-moi, assommez-moi de
coups, tuez-moi, si vous voulez : il faut que je décharge
mon coeur, et qu'en valet fidèle je vous dise ce que je
dois. Sachez, Monsieur, que tant va la cruche à l'eau,
qu'enfin elle se brise ; et comme dit fort bien cet auteur
que je ne connais pas, l'homme est en ce monde ainsi que
l'oiseau sur la branche ; la branche est attachée à l'arbre ;
qui s'attache à l'arbre, suit de bons préceptes ; les bons
préceptes valent mieux que les belles paroles ; les belles
paroles se trouvent à la Cour ; à la Cour sont les
courtisans ; les courtisans suivent la mode ; la mode vient
de la fantaisie ; la fantaisie est une faculté de l'âme ;
l'âme est ce qui nous donne la vie ; la vie finit par la mort
; la mort nous fait penser au Ciel ; le Ciel est au-dessus
de la terre ; la terre n'est point la mer ; la mer est sujette
aux orages ; les orages tourmentent les vaisseaux ; les
vaisseaux ont besoin d'un bon pilote ; un bon pilote a de
la prudence ; la prudence n'est point dans les jeunes gens
; les jeunes gens doivent obéissance aux vieux ; les vieux
aiment les richesses ; les richesses font les riches ; les
riches ne sont pas pauvres ; les pauvres ont de la
nécessité, nécessité n'a point de loi ; qui n'a point de loi
vit en bête brute ; et par conséquent, vous serez damné à
tous les diables."
DON JUAN,Ô beau raisonnement !
SGANARELLE,"Après cela, si vous ne vous rendez, tant pis pour vous. 
- 75 -"
DON CARLOS,"Don Juan, je vous trouve à propos, et suis bien aise de
vous parler ici plutôt que chez vous, pour vous demander
vos résolutions. Vous savez que ce soin me regarde, et
que je me suis en votre présence chargé de cette affaire.
Pour moi je ne le cèle point, je souhaite fort que les
choses aillent dans la douceur ; et il n'y a rien que je ne
fasse pour porter votre esprit à vouloir prendre cette voie,
et pour vous voir publiquement confirmer à ma soeur le
nom de votre femme."
DON CARLOS,"Ce dessein, Don Juan, ne choque point ce que je dis ; et
la compagnie d'une femme légitime peut bien
s'accommoder avec les louables pensées que le Ciel vous
inspire."
DON JUAN,"Hélas ! Point du tout. C'est un dessein que votre soeur
elle-même a pris : elle a résolu sa retraite, et nous avons
été touchés tous deux en même temps."
DON CARLOS,"Sa retraite ne peut nous satisfaire, pouvant être imputée
au mépris que vous feriez d'elle et de notre famille ; et
notre honneur demande qu'elle vive avec vous."
DON JUAN,"Je vous assure que cela ne se peut. J'en avais, pour moi,
toutes les envies du monde, et je me suis même encore
aujourd'hui conseillé au Ciel pour cela ; mais, lorsque je
l'ai consulté j'ai entendu une voix qui m'a dit que je ne
devais point songer à votre soeur, et qu'avec elle
assurément je ne ferais point mon salut. 
- 76 -"
DON CARLOS,"Croyez-vous, Don Juan, nous éblouir par ces belles
excuses ?"
DON JUAN,J'obéis à la voix du Ciel.
DON CARLOS,"Quoi ? Vous voulez que je me paye d'un semblable
discours ?"
DON JUAN,C'est le Ciel qui le veut ainsi.
DON CARLOS,"Vous aurez fait sortir ma soeur d'un convent, pour la
laisser ensuite ?"
DON JUAN,Le Ciel l'ordonne de la sorte.
DON CARLOS,Nous souffrirons cette tache en notre famille ?
DON JUAN,Prenez-vous-en au Ciel.
DON CARLOS,Et quoi ? Toujours le Ciel ?
DON JUAN,Le Ciel le souhaite comme cela.
DON CARLOS,"Il suffit, Don Juan, je vous entends. Ce n'est pas ici que je
veux vous prendre, et le lieu ne le souffre pas ; mais,
avant qu'il soit peu, je saurai vous trouver."
DON JUAN,"Vous ferez ce que vous voudrez ; vous savez que je ne
manque point de coeur, et que je sais me servir de mon
épée quand il le faut. Je m'en vais passer tout à l'heure
dans cette petite rue écartée qui mène au grand convent ;
mais je vous déclare, pour moi, que ce n'est point moi qui
me veux battre : le Ciel m'en défend la pensée ; et si vous
m'attaquez, nous verrons ce qui en arrivera.
- 77 -"
DON CARLOS,"Nous verrons, de vrai, nous verrons. 
SCÈNE IV.
Don Juan, Sganarelle."
SGANARELLE,"Monsieur, quel diable de style prenez-vous là ? Ceci est
bien pis que le reste, et je vous aimerais bien mieux
encore comme vous étiez auparavant. J'espérais toujours
de votre salut ; mais c'est maintenant que j'en désespère ;
et je crois que le Ciel, qui vous a souffert jusques ici, ne
pourra souffrir du tout cette dernière horreur."
DON JUAN,"Va, va, le Ciel n'est pas si exact que tu penses ; et si
toutes les fois que les hommes..."
SGANARELLE,"Ah ! Monsieur, c'est le Ciel qui vous parle, et c'est un
avis qu'il vous donne."
DON JUAN,"Si le Ciel me donne un avis, il faut qu'il parle un peu plus
clairement, s'il veut que je l'entende. 
SCÈNE V.
Don Juan, un Spectre, en femme voilée,
Sganarelle.
LE SPECTRE.
Don Juan n'a plus qu'un moment à pouvoir profiter de la
miséricorde du Ciel ; et s'il ne se repent ici, sa perte est
résolue."
SGANARELLE,"Entendez-vous, Monsieur ?"
DON JUAN,Qui ose tenir ces paroles ? Je crois connaître cette voix.
SGANARELLE,"Ah ! Monsieur, c'est un spectre : je le reconnais au
marcher. 
- 78 -"
DON JUAN,"Spectre, fantôme ; ou diable, je veux voir ce que c'est. 
Le Spectre change de figure et représente le Temps avec sa faux à la main."
SGANARELLE,"Ô ciel ! Voyez-vous, Monsieur, ce changement de figure
?"
DON JUAN,"Non, non, rien n'est capable de m'imprimer de la terreur,
et je veux éprouver avec mon épée si c'est un corps ou un
esprit. 
Le Spectre s'envole dans le temps que Don Juan le veut frapper."
SGANARELLE,"Ah ! Monsieur, rendez-vous à tant de preuves, et
jetez-vous vite dans le repentir."
DON JUAN,"Non, non, il ne sera pas dit, quoi qu'il arrive, que je sois
capable de me repentir. Allons, suis-moi. 
SCÈNE VI.
La Statue, Don Juan, Sganarelle.
LA STATUE.
Arrêtez, Don Juan ! Vous m'avez hier donné parole de
venir manger avec moi."
DON JUAN,"Oui. Où faut-il aller ? 
LA STATUE.
Donnez-moi la main."
DON JUAN,"La voilà. 
LA STATUE.
Don Juan, l'endurcissement au péché traîne une mort
funeste, et les grâces du Ciel que l'on renvoie ouvrent un
chemin à sa foudre. 
- 79 -"
DON JUAN,"Ô Ciel ! Que sens-je ? Un feu invisible me brûle, je n'en
puis plus, et tout mon corps devient un brasier ardent. Ah
! 
Le tonnerre tombe avec un grand bruit et de grands éclairs sur Don Juan ;
la terre s'ouvre et l'abîme ; et il sort de grands feux de l'endroit où il est
tombé."
SGANARELLE,"Ah ! Mes gages ! Mes gages ! Voilà par sa mort un
chacun satisfait. Ciel offensé, lois violées, filles séduites,
familles déshonorées, parents outragés, femmes mises à
mal, maris poussés à bout, tout le monde est content ; il
n'y a que moi seul de malheureux, qui, après tant
d'années de service, n'ai point d'autre récompense que de
voir à mes yeux l'impiété de mon maître punie par le plus
épouvantable châtiment du monde. Mes gages ! Mes
gages ! Mes gages ! 
 FIN 
- 80 -"
